Fund,Fund Manager,Category,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,classification
PGIM India Ultra Short Duration Fund(G),Puneet Pal,DT-USD,0.69,0.57,0.55,0.51,0.41,0.46,0.44,0.41,0.41,0.23,Debt : Ultra Short Duration
Qsif Equity Ex Top 100 Long Short Fund Reg(G),Sandeep Tandon,HY-EQ,-,-,-,-,-,-,-,-,-1.62,-4.8,Hybrid : Equity Oriented
Qsif Equity Long Short Fund Reg(G),Sandeep Tandon,HY-EQ,-,-,-,-,-,-,-,-0.34,-0.71,-3.44,Hybrid : Equity Oriented
Qsif Hybrid Long Short Fund Reg(G),Sandeep Tandon,HY-DYN,-,-,-,-,-,-,-,-0.51,-0.21,-1.41,Hybrid : Dynamic Asset Allocation
Quant Aggressive Hybrid Fund(G),Sandeep Tandon,HY-EQ,3.53,3.43,3.6,-2.62,-1.6,2.66,2.99,0.29,-0.7,-4.55,Hybrid : Equity Oriented
Quant Arbitrage Fund Reg(G),Sameer Kate,HY-ARB,-,0.35,0.57,0.61,0.4,0.47,0.56,0.58,0.64,0.69,Hybrid : Arbitrage
Quant BFSI Fund Reg(G),Sandeep Tandon,EQ-FIN,5.51,6.18,6.37,0.86,-3.36,4.35,3.05,3.25,2.35,-3.34,Equity : Sectoral - Financial Services
Quant Business Cycle Fund Reg(G),Sandeep Tandon,EQ-THEM,3.13,4.94,2.47,-3.43,-5.35,1.28,2.98,1.39,-1.74,-4.93,Equity : Thematic
Quant Commodities Fund Reg(G),Sandeep Tandon,EQ-THEM,0,6.06,4.04,-3.01,-5.91,3.45,4.95,-3.42,3.39,-8.07,Equity : Thematic
Quant Consumption Fund Reg(G),Sandeep Tandon,EQ-CONS,5.44,1.62,-0.46,-1.68,-3.94,-0.22,2.74,-3.02,-0.27,-4.1,Equity : Thematic - Consumption
Quant Dynamic Asset Allocation Fund Reg(G),Sandeep Tandon,HY-DYN,3.11,4.02,2.29,-2.25,-2.74,1.58,2.96,-0.44,-0.68,-4.93,Hybrid : Dynamic Asset Allocation
Quant ELSS Tax Saver Fund(G),Sandeep Tandon,EQ-ELSS,3.45,3.49,4.56,-2.96,-2.84,3.54,4.65,0.24,-1.12,-5.36,Equity : Tax Saving (ELSS)
Quant Equity Savings Fund Reg(G),Sanjeev Sharma,HY-EQ,-,-,-,-,0.05,0.28,1.73,-0.69,-0.54,0.46,Hybrid : Equity Oriented
Quant ESG Integration Strategy Fund Reg(G),Sandeep Tandon,EQ-THEM,4.44,5.45,2.53,-4.74,-3.94,3.01,4.01,1.3,-0.5,-5.62,Equity : Thematic
Quant Flexi Cap Fund(G),Sandeep Tandon,EQ-FLEX,3.48,2.04,3.18,-2.93,-4.12,3.55,3.71,0.91,-1.17,-5.38,Equity : Flexi Cap
Quant Focused Fund(G),Sandeep Tandon,EQ-LC,2.17,3.57,4.33,-3.52,-2.99,2.26,4.1,-1.16,-0.84,-4.3,Equity : Large Cap
Quant Gilt Fund Reg(G),Sanjeev Sharma,DT-GILT,1.57,0.61,-0.85,0.23,-1.68,1.03,0.44,0.14,0.2,-0.07,Debt : Gilt
Quant Healthcare Fund Reg(G),Sandeep Tandon,EQ-PHRM,3.65,5.48,2.31,-2.71,-3.5,0.91,2.84,-0.38,-2.16,-4.13,Equity : Sectoral - Pharma
Quant Infrastructure Fund(G),Sandeep Tandon,EQ-INFRA,-0.1,6.59,3.07,-2.84,-3.72,4.23,4.76,-2.22,-1.46,-7.15,Equity : Sectoral - Infrastructure
Quant Large & Mid Cap Fund(G),Sandeep Tandon,EQ-L&M,2.71,2.9,3.28,-3.75,-4.19,1.21,4.3,0.37,-1.29,-7.73,Equity : Large & Mid Cap
Quant Large Cap Fund Reg(G),Sandeep Tandon,EQ-LC,1.87,4,5.1,-2.53,-2.67,2.03,4.25,-0.37,-0.99,-4.44,Equity : Large Cap
Quant Liquid Plan(G),Sanjeev Sharma,DT-LIQ,0.54,0.52,0.51,0.47,0.46,0.46,0.45,0.45,0.48,0.41,Debt : Liquid
Quant Manufacturing Fund Reg(G),Sandeep Tandon,EQ-THEM,2.26,5.7,2.07,-3.16,-4.77,3.66,4.37,-3.14,-0.25,-6.05,Equity : Thematic
Quant Mid Cap Fund(G),Sandeep Tandon,EQ-MID,3.72,2.81,1.77,-3.18,-5.07,0.5,5.01,-0.58,-1.98,-7.78,Equity : Mid Cap
Quant Momentum Fund Reg(G),Sandeep Tandon,EQ-THEM,1.56,5.17,1.96,-3.09,-4.03,0.75,2.64,2.62,-0.39,-4.37,Equity : Thematic
Quant Multi Asset Allocation Fund(G),Sandeep Tandon,HY-MULTI,2.43,4.07,2.37,-0.97,-0.77,3.5,4.2,1.25,3.05,2.95,Hybrid : Multi Asset Allocation
Quant Multi Cap Fund(G),Sandeep Tandon,EQ-MLC,1.92,4.73,3.01,-3.85,-3.6,2.29,3.54,-1.51,-1.98,-5.35,Equity : Multi Cap
Quant Overnight Fund Reg(G),Sanjeev Sharma,DT-ON,0.47,0.45,0.43,0.46,0.43,0.42,0.44,0.41,0.42,0.41,Debt : Overnight
Quant PSU Fund Reg(G),Sandeep Tandon,EQ-THEM,3.33,3.43,1.53,-4.62,-5.13,5.88,3.96,-1.37,-0.4,-5.49,Equity : Thematic
Quant Quantamental Fund Reg(G),Sandeep Tandon,EQ-THEM,1.93,5.27,3.08,-3.02,-3.13,2.61,3.27,2.9,-0.81,-4.51,Equity : Thematic
Quant Small Cap Fund(G),Sandeep Tandon,EQ-SML,3.14,6.21,4.04,-1.83,-3.6,1.21,4.2,-1.46,-1.28,-7.47,Equity : Small Cap
Quant Teck Fund Reg(G),Sandeep Tandon,EQ-TECH,2.39,7.15,3.73,-6.92,-4.43,-1.92,2.39,-1.06,-1.63,-7.38,Equity : Sectoral - Technology
Quant Value Fund Reg(G),Sandeep Tandon,EQ-VAL,3.18,5.04,3.27,-1.98,-4.45,2.79,4.32,0.2,-0.98,-5.36,Equity : Value / Contra
Quantum Diversified Equity All Cap Active FOF Reg(G),Chirag Mehta,FOF-DOM,3.13,2.96,3.34,-1.99,-1.79,0.98,3.61,1.45,-0.59,-3.19,FoFs : Domestic
Quantum Dynamic Bond Fund Reg(G),Sneha Pandey,DT-DYN,1.98,0.79,-0.93,0.38,-0.95,0.95,0.59,0.26,-0.04,-0.11,Debt : Dynamic Bond
Quantum ELSS Tax Saver Fund Reg(G),George Thomas,EQ-ELSS,2.93,2.7,1.9,-2.23,-0.56,-0.52,2.53,1.08,0.21,-2.59,Equity : Tax Saving (ELSS)
Quantum ESG Best In Class Strategy Fund Reg(G),Chirag Mehta,EQ-THEM,2.19,4.16,2.99,-2.37,-0.46,-0.97,2.33,0.7,-0.54,-4.51,Equity : Thematic
Quantum Ethical Fund Reg(G),Chirag Mehta,EQ-THEM,0.87,5.48,2.65,-2.48,0,-1.02,1.85,-0.2,-1.42,-3.9,Equity : Thematic
Quantum Gold Fund ETF,Chirag Mehta,GOLD-ETF,4.79,-0.11,0.6,2.32,3.75,14.07,3.56,4.74,4.98,23.62,Gold : ETFs
Quantum Gold Saving Fund Reg(G),Chirag Mehta,GOLD-MF,6.31,0.61,0.54,2.9,3.66,12.37,4.27,4.46,5.69,18.96,Gold : MFs
Quantum Liquid Fund Reg(G),Sneha Pandey,DT-LIQ,0.54,0.52,0.48,0.45,0.44,0.44,0.45,0.44,0.47,0.42,Debt : Liquid
Quantum Multi Asset Active FoF Reg(G),Chirag Mehta,FOF-DOM,2.75,1.43,1,-0.45,-0.01,2.22,2.46,1.49,0.87,1.73,FoFs : Domestic
Quantum Multi Asset Allocation Fund Reg(G),Chirag Mehta,HY-MULTI,2.92,1.69,0.52,-1.04,0.09,2.02,2.41,1.34,0.66,1.56,Hybrid : Multi Asset Allocation
Quantum Nifty 50 ETF,Hitendra Parekh,EQ-ETF,3.47,1.92,3.35,-2.77,-1.22,0.76,4.56,1.95,-0.27,-3.05,Equity : ETFs
Quantum Nifty 50 ETF FoF Reg(G),Hitendra Parekh,FOF-DOM,3.03,2.04,2.96,-2.46,-1.07,0.6,4.54,1.99,-0.35,-2.94,FoFs : Domestic
Quantum Small Cap Fund Reg(G),Chirag Mehta,EQ-SML,1.37,11.06,3.48,-1.33,-2.3,0.08,2.68,0.24,-0.63,-3.25,Equity : Small Cap
Quantum Value Fund Reg(G),George Thomas,EQ-VAL,2.88,2.71,1.9,-2.28,-0.55,-0.52,2.55,1.09,0.24,-2.56,Equity : Value / Contra
Samco Active Momentum Fund Reg(G),Umeshkumar Mehta,EQ-THEM,-4.2,0.73,4.93,-1.8,-4.44,-2.51,2.04,-2.89,-0.61,-3.68,Equity : Thematic
Samco Arbitrage Fund Reg(G),Umeshkumar Mehta,HY-ARB,0.49,0.29,0.29,0.29,0.29,0.19,0.29,0.48,0.29,0.48,Hybrid : Arbitrage
Samco Dynamic Asset Allocation Fund Reg(G),Umeshkumar Mehta,HY-DYN,-2.34,2.4,2.83,0.28,-2.74,0.19,2.04,-0.67,-0.29,-1.63,Hybrid : Dynamic Asset Allocation
Samco ELSS Tax Saver Fund Reg(G),Nirali Bhansali,EQ-ELSS,1.68,9.57,5.27,-4.22,-3.96,-0.78,2.27,-1.38,-1.09,-4.32,Equity : Tax Saving (ELSS)
Samco Flexi Cap Fund Reg(G),Nirali Bhansali,EQ-FLEX,1.15,8.03,5.72,-5.77,-5.65,1.12,2.01,-2.16,-0.2,-2.11,Equity : Flexi Cap
Samco Large & Mid Cap Fund Reg(G),Umeshkumar Mehta,EQ-L&M,-,-,-,-5,-3.31,-0.96,0.32,0.54,-1.39,-2.93,Equity : Large & Mid Cap
Samco Large Cap Fund Reg(G),Umeshkumar Mehta,EQ-LC,-1.6,-0.2,3.77,-3.54,-2.75,-1.15,2.22,-1.14,-1.36,-2.23,Equity : Large Cap
Samco Multi Asset Allocation Fund Reg(G),Umeshkumar Mehta,HY-MULTI,4.56,2.76,3.46,-1.67,-2.72,1.22,1.73,1.27,-0.59,6.16,Hybrid : Multi Asset Allocation
Samco Multi Cap Fund Reg(G),Umeshkumar Mehta,EQ-MLC,-0.55,5.57,3.8,-2.54,-3.65,-1.52,1.21,-2.17,-1.66,-4.29,Equity : Multi Cap
Samco Overnight Fund Reg(G),Dhawal Ghanshyam Dhanani,DT-ON,0.44,0.45,0.4,0.42,0.42,0.41,0.43,0.4,0.41,0.4,Debt : Overnight
Samco Small Cap Fund Reg(G),Umeshkumar Mehta,EQ-SML,-,-,-,-,-,-,-,-,-,-5.19,Equity : Small Cap
Samco Special Opportunities Fund Reg(G),Umeshkumar Mehta,EQ-THEM,0.52,8.11,3.69,1.95,-3.15,-0.12,3.73,-2.58,-1.5,-3.98,Equity : Thematic
SBI Arbitrage Opportunities Fund Reg(G),Neeraj Kumar,HY-ARB,0.65,0.43,0.59,0.53,0.4,0.36,0.49,0.53,0.55,0.58,Hybrid : Arbitrage
SBI Automotive Opportunities Fund Reg(G),Tanmaya Desai,EQ-AUTO,2.52,7.54,2.19,0.05,3.17,5.32,2.24,2.96,1.89,-4.85,Equity : Sectoral - Auto
SBI Balanced Advantage Fund Reg(G),Dinesh Balachandran,HY-DYN,2.51,1.56,1.93,-1.94,-0.99,1.26,3.44,1.1,0.79,-1.11,Hybrid : Dynamic Asset Allocation
SBI Banking & Financial Services Fund Reg(G),Milind Agrawal,EQ-FIN,4.38,2.52,4.84,-2.81,-2.06,2.8,4.37,3.32,0.14,-0.02,Equity : Sectoral - Financial Services
SBI Banking and PSU Fund Reg(G),Ardhendu Bhattacharya,DT-B&PSU,1.49,1.13,-0.03,0.5,-0.12,0.69,0.81,0.46,-0.02,-0.04,Debt : Banking & PSU
SBI BSE 100 ETF,Raviprakash Sharma,EQ-ETF,3.25,2.39,3.46,-2.85,-1.37,1,4.64,1.66,-0.26,-2.95,Equity : ETFs
SBI BSE PSU Bank ETF,Viral Chhadva,EQ-ETF,4.67,7.56,3.26,-5.07,-1.65,11.67,8.87,4,0.17,5.26,Equity : ETFs
SBI BSE PSU Bank Index Fund Reg(G),Viral Chhadva,EQ-INDX,4.47,7.48,3.04,-5.14,-1.7,11.61,8.77,3.9,0.12,5.19,Equity : Index Funds
SBI BSE Sensex ETF,Raviprakash Sharma,EQ-ETF,3.67,1.74,2.96,-2.76,-1.55,0.58,4.69,2.15,-0.57,-3.44,Equity : ETFs
SBI BSE Sensex Index Fund Reg(G),Raviprakash Sharma,EQ-INDX,3.63,1.67,2.93,-2.79,-1.58,0.55,4.6,2.11,-0.62,-3.48,Equity : Index Funds
SBI BSE Sensex Next 50 ETF,Raviprakash Sharma,EQ-ETF,2.09,3.95,3.92,-3.26,-1.25,1.56,4.65,0.74,-0.29,-2.73,Equity : ETFs
SBI Childrens Fund Investment Plan Reg(G),R. Srinivasan,HY-SOL,1.05,3.54,3.46,1.47,-0.4,2.2,3.84,2.59,-3.71,-2,Hybrid : Solution Oriented
SBI Childrens Fund Savings Plan Reg(G),R. Srinivasan,HY-SOL,1.52,1.49,0.29,0.25,-0.87,0.4,0.78,0.64,-0.06,-0.49,Hybrid : Solution Oriented
SBI Comma Fund Reg(G),Dinesh Balachandran,EQ-THEM,1.55,5.57,2.94,-1.11,-2.1,3.29,3.85,-2.48,4.07,0.19,Equity : Thematic
SBI Conservative Hybrid Fund Reg(G),Saurabh Pant,HY-DT(CO),1.5,1.53,0.83,0.1,-0.41,0.84,1.44,0.65,-0.42,-0.77,Hybrid : Debt Oriented (Conservative)
SBI Constant Maturity 10 Year Gilt Fund Reg(G),Sudhir Agarwal,DT-GL10Y,2.19,0.94,-0.58,0.25,-1.19,0.83,0.71,0.51,0.12,-0.08,Debt : Gilt (10 Yr Constant Duration)
SBI Consumption Opp Fund Reg(G),Ashit Desai,EQ-CONS,3.16,0.37,3.2,-1.84,1.3,-1.69,2.26,-1.36,-0.86,-6.59,Equity : Thematic - Consumption
SBI Contra Fund Reg(G),Dinesh Balachandran,EQ-VAL,2.98,2.28,2.89,-2.4,-1.62,0.61,4.35,1.33,0.52,-2.47,Equity : Value / Contra
SBI Corp Bond Fund Reg(G),Rajeev Radhakrishnan,DT-CORP,1.56,1.14,-0.02,0.59,-0.16,0.59,0.82,0.58,0.03,-0.06,Debt : Corporate Bond
SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund Reg(G),Ranjana Gupta,DT-MD,1,0.85,0.5,0.54,0.34,0.54,0.52,0.48,0.44,0.35,Debt : Medium Duration
SBI Credit Risk Fund Reg(G),Lokesh Mallya,DT-CR,1.15,0.72,0.51,0.66,0.18,0.68,0.62,0.62,0.29,0.16,Debt : Credit Risk
SBI CRISIL IBX Gilt Index   Apr 2029 Fund Reg(G),Ranjana Gupta,DT-M&LD,1.69,1.39,-0.11,0.47,-0.39,1.17,0.53,0.74,0.13,0.38,Debt : Medium to Long Duration
SBI CRISIL IBX Gilt Index   June 2036 Fund Reg(G),Ranjana Gupta,DT-LD,2.16,1.31,-1.02,0.2,-1.58,1.17,0.58,0.88,0.02,0.15,Debt : Long Duration
SBI CRISIL IBX SDL Index   Sep 2027 Fund Reg(G),Ranjana Gupta,DT-M&LD,1.5,1.15,0.19,0.66,-0.01,0.55,0.69,0.53,0.33,0.39,Debt : Medium to Long Duration
SBI Dividend Yield Fund Reg(G),Nidhi Chawla,EQ-DIV,1.46,3.26,2.44,-2.03,-0.73,1.25,3.35,0.62,0.55,-0.79,Equity : Thematic - Dividend Yield
SBI Dynamic Asset Allocation Active FoF Reg(G),Nidhi Chawla,FOF-DOM,-,-,-,-,-,-,2.48,0.79,0.04,-1.21,FoFs : Domestic
SBI Dynamic Bond Fund Reg(G),Sudhir Agarwal,DT-DYN,2.15,0.63,-1.1,0.28,-0.63,0.83,0.63,0.33,-0.16,0.2,Debt : Dynamic Bond
SBI ELSS Tax Saver Fund Reg(G),Milind Agrawal,EQ-ELSS,2.26,3.67,2.42,-2.17,-2.06,0.72,4.01,1.37,0.56,-2.74,Equity : Tax Saving (ELSS)
SBI Energy Opportunities Fund Reg(G),Raj Gandhi,EQ-POWER,4.39,3.55,2.75,-2.21,-4.85,4.1,4.1,-3.03,2.28,-3,Equity : Sectoral - Energy / Power
SBI Equity Hybrid Fund Reg(G),R. Srinivasan,HY-EQ,2.77,2.6,3.66,-2.3,-1.59,1.39,3.48,0.78,-0.57,-2.68,Hybrid : Equity Oriented
SBI Equity Minimum Variance Fund Reg(G),Raviprakash Sharma,EQ-THEM,3.83,0.56,2.75,-1.97,0.4,-0.44,3.96,1.59,-0.76,-3.8,Equity : Thematic
SBI Equity Savings Fund Reg(G),Nidhi Chawla,HY-EQ,2.18,2.04,1.84,-0.92,-0.8,0.5,2.02,0.77,-0.4,-0.27,Hybrid : Equity Oriented
SBI ESG Exclusionary Strategy Fund Reg(G),Rohit Shimpi,EQ-THEM,2.51,3.35,2.45,-2.57,-0.77,0.47,3.82,1.3,-0.62,-2.9,Equity : Thematic
SBI Flexicap Fund Reg(G),Dinesh Balachandran,EQ-FLEX,3.14,1.36,3.5,-2.15,-0.66,1.68,3.4,1.07,-0.05,-3.06,Equity : Flexi Cap
SBI Floating Rate Debt Fund Reg(G),Ardhendu Bhattacharya,DT-FL,1.05,0.92,0.46,0.53,0.27,0.38,0.35,0.47,0.25,0.55,Debt : Floater
SBI FMP 1 3668D Reg(G),Ranjana Gupta,DT-FMP,1.86,1.39,-0.04,0.59,-0.71,0.95,0.71,0.66,0.28,0.23,Debt : FTP/FMP
SBI FMP 34 3682D Reg(G),Ranjana Gupta,DT-FMP,1.87,1.59,-0.32,0.36,-0.53,0.63,0.83,0.7,-0.11,-0.01,Debt : FTP/FMP
SBI FMP 42 1857D Reg(G),Ranjana Gupta,DT-FMP,0.84,0.71,0.5,0.46,0.4,0.46,0.48,0.46,0.47,0.44,Debt : FTP/FMP
SBI FMP 44 1855D Reg(G),Ranjana Gupta,DT-FMP,0.99,0.82,0.51,0.46,0.35,0.48,0.53,0.46,0.48,0.43,Debt : FTP/FMP
SBI FMP 45 1840D Reg(G),Ranjana Gupta,DT-FMP,0.92,0.79,0.5,0.46,0.36,0.49,0.51,0.47,0.48,0.43,Debt : FTP/FMP
SBI FMP 46 1850D Reg(G),Ranjana Gupta,DT-FMP,0.99,0.83,0.45,0.53,0.3,0.49,0.53,0.46,0.46,0.42,Debt : FTP/FMP
SBI FMP 50 1843D Reg(G),Ranjana Gupta,DT-FMP,1.09,0.88,0.43,0.54,0.28,0.53,0.55,0.48,0.47,0.4,Debt : FTP/FMP
SBI FMP 51 1846D Reg(G),Ranjana Gupta,DT-FMP,1.09,0.89,0.43,0.56,0.27,0.54,0.55,0.49,0.46,0.42,Debt : FTP/FMP
SBI FMP 52 1848D Reg(G),Ranjana Gupta,DT-FMP,1.05,0.86,0.43,0.59,0.27,0.55,0.55,0.48,0.47,0.43,Debt : FTP/FMP
SBI FMP 53 1839D Reg(G),Ranjana Gupta,DT-FMP,1.11,0.93,0.41,0.59,0.23,0.51,0.63,0.49,0.45,0.41,Debt : FTP/FMP
SBI FMP 54 1842D Reg(G),Ranjana Gupta,DT-FMP,1.12,0.96,0.4,0.6,0.21,0.43,0.7,0.51,0.46,0.37,Debt : FTP/FMP
SBI FMP 55 1849D Reg(G),Ranjana Gupta,DT-FMP,1.12,0.96,0.41,0.59,0.22,0.41,0.71,0.51,0.45,0.36,Debt : FTP/FMP
SBI FMP 57 1835D Reg(G),Ranjana Gupta,DT-FMP,1.17,0.97,0.42,0.53,0.28,0.43,0.69,0.5,0.47,0.33,Debt : FTP/FMP
SBI FMP 58 1842D Reg(G),Ranjana Gupta,DT-FMP,1.22,0.96,0.36,0.53,0.26,0.51,0.62,0.48,0.48,0.48,Debt : FTP/FMP
SBI FMP 59 1618D Reg(G),Ranjana Gupta,DT-FMP,1.08,0.75,0.47,0.49,0.32,0.4,0.54,0.46,0.49,0.39,Debt : FTP/FMP
SBI FMP 6 3668D Reg(G),Ranjana Gupta,DT-FMP,1.85,1.37,-0.06,0.57,-0.74,0.94,0.68,0.66,0.23,0.22,Debt : FTP/FMP
SBI FMP 60 1878D Reg(G),Ranjana Gupta,DT-FMP,1.27,1.01,0.34,0.57,0.23,0.52,0.63,0.48,0.5,0.45,Debt : FTP/FMP
SBI FMP 61 1927D Reg(G),Ranjana Gupta,DT-FMP,1.37,1.07,0.26,0.6,0.14,0.57,0.64,0.5,0.42,0.4,Debt : FTP/FMP
SBI FMP 64 1169D Reg(G),Ranjana Gupta,DT-FMP,0.7,0.55,0.46,0.46,0.42,0.44,0.44,0.15,0,0,Debt : FTP/FMP
SBI FMP 66 1361D Reg(G),Ranjana Gupta,DT-FMP,0.84,0.72,0.49,0.46,0.4,0.47,0.47,0.46,0.47,0.44,Debt : FTP/FMP
SBI FMP 67 1467D Reg(G),Ranjana Gupta,DT-FMP,1.03,0.81,0.47,0.53,0.31,0.48,0.54,0.47,0.48,0.42,Debt : FTP/FMP
SBI FMP 68 1302D Reg(G),Ranjana Gupta,DT-FMP,1,0.7,0.49,0.46,0.37,0.4,0.49,0.46,0.49,0.4,Debt : FTP/FMP
SBI FMP 72 1239D Reg(G),Ranjana Gupta,DT-FMP,1.02,0.71,0.51,0.48,0.38,0.42,0.51,0.47,0.5,0.41,Debt : FTP/FMP
SBI FMP 73 1226D Reg(G),Ranjana Gupta,DT-FMP,1.02,0.71,0.5,0.48,0.38,0.41,0.51,0.47,0.5,0.42,Debt : FTP/FMP
SBI FMP 74 1243D Reg(G),Ranjana Gupta,DT-FMP,0.89,0.76,0.51,0.46,0.39,0.49,0.5,0.47,0.48,0.44,Debt : FTP/FMP
SBI FMP 76 1221D Reg(G),Ranjana Gupta,DT-FMP,0.94,0.72,0.48,0.5,0.39,0.42,0.5,0.46,0.47,0.42,Debt : FTP/FMP
SBI FMP 78 1170D Reg(G),Ranjana Gupta,DT-FMP,0.86,0.73,0.52,0.49,0.4,0.47,0.48,0.47,0.47,0.43,Debt : FTP/FMP
SBI FMP 79 1130D Reg(G),Ranjana Gupta,DT-FMP,0.94,0.73,0.5,0.5,0.41,0.43,0.49,0.47,0.47,0.42,Debt : FTP/FMP
SBI FMP 81 1157D Reg(G),Ranjana Gupta,DT-FMP,0.86,0.72,0.55,0.5,0.42,0.49,0.48,0.48,0.48,0.42,Debt : FTP/FMP
SBI Focused Fund Reg(G),R. Srinivasan,EQ-MLC,2.18,3.17,4.03,-2.72,-0.56,2.18,4.71,2.74,0.24,-1.98,Equity : Multi Cap
SBI Gilt Fund Reg(G),Sudhir Agarwal,DT-GILT,2.23,0.35,-1.53,0.26,-1.66,1.41,0.57,0.09,-0.03,0.2,Debt : Gilt
SBI Gold ETF,Vandna Soni,GOLD-ETF,3.92,1.34,0.37,2.4,3.93,12.22,4.83,4.44,5.16,23.6,Gold : ETFs
SBI Gold Reg(G),Raviprakash Sharma,GOLD-MF,6.32,0.58,0.46,2.75,3.78,12.72,4.07,4.45,5.32,20.12,Gold : MFs
SBI Healthcare Opp Fund Reg(G),Tanmaya Desai,EQ-PHRM,2.2,-0.48,3.44,2.08,-3.17,-1.71,3.43,0.54,-3.55,-3.68,Equity : Sectoral - Pharma
SBI Income Plus Arbitrage Active FOF Reg(G),Ardhendu Bhattacharya,FOF-DOM,-,-,0.06,0.51,0.13,0.51,0.7,0.57,0.25,0.23,FoFs : Domestic
SBI Infrastructure Fund Reg(G),Bhavin Vithlani,EQ-INFRA,3.7,3.86,2.64,-4.5,-2.49,1.19,4.31,-0.48,-0.81,-3.23,Equity : Sectoral - Infrastructure
SBI Innovative Opportunities Fund Reg(G),Vivek Gedda,EQ-THEM,0.65,6.38,3.56,-1.17,0.64,0.11,2.81,0.07,-0.01,-7.8,Equity : Thematic
SBI Large & Midcap Fund Reg(G),Saurabh Pant,EQ-L&M,1.91,3.09,4.36,-0.94,-1.75,0.79,3.7,2.1,0.01,-1.23,Equity : Large & Mid Cap
SBI Large Cap Fund Reg(G),Saurabh Pant,EQ-LC,3.02,2.38,3.09,-1.97,-1.62,0.56,3.69,1.55,0.24,-2.08,Equity : Large Cap
SBI Liquid Fund Reg(G),Rajeev Radhakrishnan,DT-LIQ,0.58,0.56,0.5,0.47,0.46,0.46,0.47,0.47,0.49,0.44,Debt : Liquid
SBI Long Duration Fund Reg(G),Ardhendu Bhattacharya,DT-LD,2.1,0.08,-2.32,0.53,-2.07,1.53,0.34,0.08,0.39,0,Debt : Long Duration
SBI Low Duration Fund Reg(G),Sudhir Agarwal,DT-LOWD,0.93,0.74,0.51,0.56,0.35,0.51,0.52,0.5,0.32,0.24,Debt : Low Duration
SBI LT Advantage Fund III Reg(G),Nidhi Chawla,EQ-ELSS,2.63,2.64,2.37,-3.32,-3.79,0.34,3.96,0.26,-1.01,-2.58,Equity : Tax Saving (ELSS)
SBI LT Advantage Fund IV Reg(G),Nidhi Chawla,EQ-ELSS,2.43,2.32,3.48,-1.96,-0.76,3.14,3.75,0.65,0.04,-1.48,Equity : Tax Saving (ELSS)
SBI LT Advantage Fund V Reg(G),Nidhi Chawla,EQ-ELSS,6.52,6.31,3.85,-0.71,-1.86,1.47,1.83,-0.74,-0.58,-2.03,Equity : Tax Saving (ELSS)
SBI LT Advantage Fund VI Reg(G),Nidhi Chawla,EQ-ELSS,4.17,5.19,3.08,-1.45,-2.28,0.52,2.12,-1.29,1.76,-2.8,Equity : Tax Saving (ELSS)
SBI Medium Duration Fund Reg(G),Lokesh Mallya,DT-MD,1.46,0.89,0,0.45,-0.23,0.76,0.76,0.64,0.23,0.16,Debt : Medium Duration
SBI Medium to Long Duration Fund Reg(G),Mohit Jain,DT-M&LD,1.83,0.8,-0.6,0.32,-0.94,0.9,0.72,0.36,0.07,-0.07,Debt : Medium to Long Duration
SBI Midcap Fund Reg(G),Bhavin Vithlani,EQ-MID,2.31,3.82,3.24,-3.83,-3.19,0.43,3.8,1.25,-0.09,-3.64,Equity : Mid Cap
SBI MNC Fund Reg(G),Tanmaya Desai,EQ-MNC,2.84,4.69,0.79,-1.23,-2.83,-1.61,2.85,1.34,-2.19,-3.18,Equity : Thematic - MNC
SBI Multi Asset Allocation Fund Reg(G),Dinesh Balachandran,HY-MULTI,2.34,2.81,2.67,-0.51,-0.71,3.4,3.12,1.93,2.34,2.08,Hybrid : Multi Asset Allocation
SBI Multicap Fund Reg(G),R. Srinivasan,EQ-MLC,3.73,1.52,3.81,-0.04,-2.2,0.13,3.02,-0.75,-1.47,-3.33,Equity : Multi Cap
SBI Nifty 10 yr Benchmark G Sec ETF,Jignesh Shah,DT-ETF,2.04,1.23,-0.22,0.09,-0.99,0.67,0.74,0.28,-0.16,-0.13,Debt : ETFs
SBI NIFTY 1D Rate Liquid ETF(G),Jignesh Shah,DT-LIQ,-,-,-,-,-,0.42,0.44,0.42,0.42,0.43,Debt : Liquid
SBI Nifty 1D Rate Liquid ETF(IDCW),Jignesh Shah,DT-ETF,0.45,0.46,0.41,0.42,0.42,0.41,0.43,0.4,0.41,0.41,Debt : ETFs
SBI Nifty 200 Quality 30 ETF,Raviprakash Sharma,EQ-ETF,3.16,3.93,2.51,-3.71,1.1,-0.21,3.81,1.26,0.32,-1.78,Equity : ETFs
SBI Nifty 50 ETF,Raviprakash Sharma,EQ-ETF,3.48,1.92,3.36,-2.76,-1.21,0.76,4.61,1.91,-0.28,-3.04,Equity : ETFs
SBI Nifty 500 Index Fund Reg(G),Viral Chhadva,EQ-INDX,3.18,3.58,3.69,-2.89,-1.88,1.15,4.3,0.93,-0.33,-3.35,Equity : Index Funds
SBI Nifty Bank ETF,Raviprakash Sharma,EQ-ETF,6.82,1.36,3.09,-2.26,-3.92,1.81,5.73,3.4,-0.31,0.02,Equity : ETFs
